"Plot Title: Clam-Bay-Beach"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137186, SEN S/N: 20137186)","Intensity, lum/ft² (LGR S/N: 20137186, SEN S/N: 20137186)","Host Connected (LGR S/N: 20137186)","Coupler Attached (LGR S/N: 20137186)","Stopped (LGR S/N: 20137186)","End Of File (LGR S/N: 20137186)"
240,06/12/18 07:30:00 PM,12.401,0.0,,,,
241,06/12/18 08:00:00 PM,12.304,0.0,,,,
242,06/12/18 08:30:00 PM,12.207,0.0,,,,
243,06/12/18 09:00:00 PM,12.207,0.0,,,,
244,06/12/18 09:30:00 PM,12.110,0.0,,,,
245,06/12/18 10:00:00 PM,12.013,0.0,,,,
246,06/12/18 10:30:00 PM,12.013,0.0,,,,
247,06/12/18 11:00:00 PM,11.916,0.0,,,,
248,06/12/18 11:30:00 PM,11.916,0.0,,,,
249,06/13/18 12:00:00 AM,12.013,0.0,,,,
250,06/13/18 12:30:00 AM,12.013,0.0,,,,
251,06/13/18 01:00:00 AM,12.013,0.0,,,,
252,06/13/18 01:30:00 AM,12.013,0.0,,,,
253,06/13/18 02:00:00 AM,12.013,0.0,,,,
254,06/13/18 02:30:00 AM,12.013,0.0,,,,
255,06/13/18 03:00:00 AM,11.916,0.0,,,,
256,06/13/18 03:30:00 AM,11.916,0.0,,,,
257,06/13/18 04:00:00 AM,11.916,0.0,,,,
258,06/13/18 04:30:00 AM,11.819,0.0,,,,
259,06/13/18 05:00:00 AM,11.722,0.0,,,,
260,06/13/18 05:30:00 AM,11.722,0.0,,,,
261,06/13/18 06:00:00 AM,11.722,0.0,,,,
262,06/13/18 06:30:00 AM,11.625,0.0,,,,
263,06/13/18 07:00:00 AM,11.625,0.0,,,,
264,06/13/18 07:30:00 AM,11.625,0.0,,,,
265,06/13/18 08:00:00 AM,11.722,0.0,,,,
266,06/13/18 08:30:00 AM,11.722,0.0,,,,
267,06/13/18 09:00:00 AM,11.819,1.0,,,,
268,06/13/18 09:30:00 AM,11.916,0.0,,,,
269,06/13/18 10:00:00 AM,12.013,0.0,,,,
270,06/13/18 10:30:00 AM,12.110,1.0,,,,
271,06/13/18 11:00:00 AM,12.207,4.0,,,,
272,06/13/18 11:30:00 AM,12.304,1.0,,,,
273,06/13/18 12:00:00 PM,12.497,5.0,,,,
274,06/13/18 12:30:00 PM,12.594,6.0,,,,
275,06/13/18 01:00:00 PM,12.690,5.0,,,,
276,06/13/18 01:30:00 PM,12.883,0.0,,,,
277,06/13/18 02:00:00 PM,12.980,1.0,,,,
278,06/13/18 02:30:00 PM,12.980,0.0,,,,
279,06/13/18 03:00:00 PM,12.980,0.0,,,,
280,06/13/18 03:30:00 PM,12.980,0.0,,,,
281,06/13/18 04:00:00 PM,12.883,0.0,,,,
282,06/13/18 04:30:00 PM,12.787,0.0,,,,
283,06/13/18 05:00:00 PM,12.690,0.0,,,,
284,06/13/18 05:30:00 PM,12.594,0.0,,,,
285,06/13/18 06:00:00 PM,12.497,0.0,,,,
286,06/13/18 06:30:00 PM,12.401,0.0,,,,
287,06/13/18 07:00:00 PM,12.304,0.0,,,,
288,06/13/18 07:30:00 PM,12.304,0.0,,,,
289,06/13/18 08:00:00 PM,12.207,0.0,,,,
290,06/13/18 08:30:00 PM,12.110,0.0,,,,
291,06/13/18 09:00:00 PM,12.013,0.0,,,,
292,06/13/18 09:30:00 PM,12.013,0.0,,,,
293,06/13/18 10:00:00 PM,11.916,0.0,,,,
294,06/13/18 10:30:00 PM,11.916,0.0,,,,
295,06/13/18 11:00:00 PM,11.819,0.0,,,,
296,06/13/18 11:30:00 PM,11.819,0.0,,,,
297,06/14/18 12:00:00 AM,11.819,0.0,,,,
298,06/14/18 12:30:00 AM,11.819,0.0,,,,
299,06/14/18 01:00:00 AM,11.916,0.0,,,,
300,06/14/18 01:30:00 AM,11.916,0.0,,,,
301,06/14/18 02:00:00 AM,11.916,0.0,,,,
302,06/14/18 02:30:00 AM,11.916,0.0,,,,
303,06/14/18 03:00:00 AM,11.916,0.0,,,,
304,06/14/18 03:30:00 AM,11.916,0.0,,,,
305,06/14/18 04:00:00 AM,11.916,0.0,,,,
306,06/14/18 04:30:00 AM,11.916,0.0,,,,
307,06/14/18 05:00:00 AM,11.916,0.0,,,,
308,06/14/18 05:30:00 AM,11.819,0.0,,,,
309,06/14/18 06:00:00 AM,11.819,0.0,,,,
310,06/14/18 06:30:00 AM,11.722,0.0,,,,
311,06/14/18 07:00:00 AM,11.722,0.0,,,,
312,06/14/18 07:30:00 AM,11.722,0.0,,,,
313,06/14/18 08:00:00 AM,11.722,0.0,,,,
314,06/14/18 08:30:00 AM,11.722,0.0,,,,
315,06/14/18 09:00:00 AM,11.722,0.0,,,,
316,06/14/18 09:30:00 AM,11.819,0.0,,,,
317,06/14/18 10:00:00 AM,11.819,1.0,,,,
318,06/14/18 10:30:00 AM,11.916,1.0,,,,
319,06/14/18 11:00:00 AM,12.013,1.0,,,,
320,06/14/18 11:30:00 AM,18.045,352.0,,,,
321,06/14/18 12:00:00 PM,23.004,384.0,,,,
322,06/14/18 12:30:00 PM,20.710,368.0,,,,
323,06/14/18 01:00:00 PM,28.555,608.0,,,,
